Date,Open,High,Low,Close,Adj Close,Volume
2023-10-25,3.210000,3.230000,3.190000,3.210000,3.210000,21876500
2023-10-26,3.200000,3.250000,3.190000,3.240000,3.240000,28650200
2023-10-27,3.270000,3.290000,3.250000,3.250000,3.250000,20108800
2023-10-30,3.290000,3.300000,3.250000,3.290000,3.290000,16133900
2023-10-31,3.310000,3.340000,3.290000,3.310000,3.310000,17517400
2023-11-01,3.280000,3.290000,3.220000,3.240000,3.240000,17871400
2023-11-02,3.330000,3.380000,3.310000,3.350000,3.350000,14555600
2023-11-03,3.430000,3.470000,3.420000,3.460000,3.460000,15969000
2023-11-06,3.450000,3.460000,3.420000,3.430000,3.430000,12794100
2023-11-07,3.440000,3.450000,3.400000,3.430000,3.430000,14823000
2023-11-08,3.460000,3.510000,3.440000,3.480000,3.480000,16828700
2023-11-09,3.500000,3.500000,3.440000,3.450000,3.450000,10899600
2023-11-10,3.460000,3.490000,3.420000,3.490000,3.490000,12542000
2023-11-13,3.480000,3.500000,3.450000,3.480000,3.480000,9154900
2023-11-14,3.560000,3.590000,3.550000,3.570000,3.570000,10491100
2023-11-15,3.570000,3.610000,3.570000,3.590000,3.590000,7879100
2023-11-16,3.530000,3.550000,3.510000,3.540000,3.540000,9844000
2023-11-17,3.560000,3.570000,3.540000,3.560000,3.560000,5647900
2023-11-20,3.560000,3.590000,3.550000,3.590000,3.590000,5936900
2023-11-21,3.540000,3.550000,3.530000,3.530000,3.530000,7197100
2023-11-22,3.540000,3.550000,3.520000,3.530000,3.530000,8125600
2023-11-24,3.540000,3.560000,3.520000,3.550000,3.550000,3624400
2023-11-27,3.540000,3.550000,3.520000,3.540000,3.540000,5973400
2023-11-28,3.520000,3.540000,3.500000,3.520000,3.520000,7168300
2023-11-29,3.560000,3.590000,3.550000,3.560000,3.560000,11839600
2023-11-30,3.520000,3.530000,3.480000,3.480000,3.480000,12890200
2023-12-01,3.440000,3.500000,3.420000,3.490000,3.490000,14805400
2023-12-04,3.220000,3.260000,3.160000,3.160000,3.160000,63662300
2023-12-05,2.960000,3.040000,2.940000,3.000000,3.000000,44622900
2023-12-06,3.050000,3.090000,3.010000,3.010000,3.010000,30193200
2023-12-07,3.050000,3.120000,3.020000,3.100000,3.100000,24122200
2023-12-08,3.190000,3.220000,3.160000,3.180000,3.180000,14533600
2023-12-11,3.140000,3.170000,3.110000,3.120000,3.120000,22015800
2023-12-12,3.210000,3.230000,3.170000,3.220000,3.220000,17594400
2023-12-13,3.200000,3.260000,3.170000,3.250000,3.250000,13695300
2023-12-14,3.330000,3.400000,3.320000,3.370000,3.370000,12866300
2023-12-15,3.270000,3.280000,3.230000,3.260000,3.260000,16633600
2023-12-18,3.250000,3.250000,3.200000,3.230000,3.230000,13940000
2023-12-19,3.310000,3.330000,3.290000,3.310000,3.310000,17834600
2023-12-20,3.310000,3.320000,3.250000,3.250000,3.250000,13270000
2023-12-21,3.240000,3.290000,3.240000,3.280000,3.280000,12723900
2023-12-22,3.350000,3.390000,3.340000,3.360000,3.360000,17973600
2023-12-26,3.320000,3.370000,3.300000,3.350000,3.350000,8897800
2023-12-27,3.380000,3.410000,3.380000,3.380000,3.380000,10834100
2023-12-28,3.370000,3.380000,3.360000,3.370000,3.370000,9610800
2023-12-29,3.370000,3.460000,3.340000,3.420000,3.420000,21748700
2024-01-02,3.390000,3.440000,3.380000,3.410000,3.410000,11708100
2024-01-03,3.390000,3.400000,3.350000,3.390000,3.390000,18458100
2024-01-04,3.430000,3.460000,3.420000,3.450000,3.450000,10934100
2024-01-05,3.440000,3.500000,3.430000,3.440000,3.440000,11702400
2024-01-08,3.480000,3.550000,3.460000,3.540000,3.540000,15453700
2024-01-09,3.500000,3.510000,3.470000,3.480000,3.480000,11399300
2024-01-10,3.470000,3.500000,3.460000,3.490000,3.490000,9214700
2024-01-11,3.500000,3.510000,3.470000,3.500000,3.500000,13916900
2024-01-12,3.510000,3.550000,3.510000,3.520000,3.520000,12712400
2024-01-16,3.490000,3.510000,3.470000,3.510000,3.510000,9854300
2024-01-17,3.470000,3.470000,3.420000,3.450000,3.450000,11261500
2024-01-18,3.450000,3.490000,3.450000,3.470000,3.470000,16291300
2024-01-19,3.380000,3.430000,3.360000,3.430000,3.430000,19663600
2024-01-22,3.370000,3.410000,3.310000,3.350000,3.350000,27719100
2024-01-23,3.390000,3.460000,3.350000,3.360000,3.360000,25855800
2024-01-24,3.430000,3.450000,3.340000,3.410000,3.410000,24354300
