,Date,Open,High,Low,Close,Adj Close,Volume,MA_20,RSI,Upper_band,Lower_band,EMA_12,EMA_26,MACD,Signal_Line,Combined_Indicator,Position,Prediction
0,2021-01-25,14477.799805,14491.099609,14218.599609,14238.900391,14238.900391,618600.0,,,,,14238.900391,14238.900391,0.0,0.0,,0,S
1,2021-01-27,14237.950195,14237.950195,13929.299805,13967.5,13967.5,660700.0,,0.0,,,14197.146484692308,14218.796658333333,-21.650173641024594,-4.330034728204919,,0,S
2,2021-01-28,13810.400391,13898.25,13713.25,13817.549805,13817.549805,637900.0,,0.0,,,14138.746995508876,14189.074669197531,-50.32767368865461,-13.529562520294858,,0,S
3,2021-01-29,13946.599609,13966.849609,13596.75,13634.599609,13634.599609,753200.0,,0.0,,,14061.185859122896,14148.002442516234,-86.81658339333808,-28.186966694903504,,1,L
4,2021-02-01,13758.599609,14336.349609,13661.75,14281.200195,14281.200195,870500.0,,51.690772953091866,,,14095.034218488603,14157.868942700215,-62.83472421161241,-35.11651819824529,,1,L
5,2021-02-02,14481.099609,14731.700195,14469.150391,14647.849609,14647.849609,915000.0,,62.64100090552836,,,14180.08274010574,14194.16380687057,-14.081066764831121,-30.909427911562453,,1,L
6,2021-02-03,14754.900391,14868.849609,14574.150391,14789.950195,14789.950195,869500.0,,65.65792559881672,,,14273.908502397164,14238.296131917195,35.61237047996838,-17.60506823325629,,1,L
7,2021-02-04,14789.049805,14913.700195,14714.75,14895.650391,14895.650391,884700.0,,67.60392015839867,,,14369.561100643754,14286.989039997403,82.57206064635102,2.4303575426651722,,1,L
8,2021-02-05,14952.599609,15014.650391,14864.75,14924.25,14924.25,935600.0,,68.09311715028045,,,14454.89785439087,14334.19355555315,120.70429883771976,26.08514580167609,,1,L
9,2021-02-08,15064.299805,15159.900391,15041.049805,15115.799805,15115.799805,671200.0,,71.02371140676593,,,14556.575077561507,14392.090314771436,164.48476279007082,53.76506919935504,,0,S
10,2021-02-09,15164.150391,15257.099609,15064.299805,15109.299805,15109.299805,713300.0,,70.8030355423668,,,14641.609651013583,14445.216943677255,196.39270733632839,82.29059682674972,,0,S
11,2021-02-10,15119.049805,15168.25,14977.200195,15106.5,15106.5,624800.0,,81.23285497242561,,,14713.13124316534,14494.200873775237,218.9303693901038,109.61855133942055,,1,L
12,2021-02-11,15073.25,15188.5,15065.400391,15173.299805,15173.299805,500100.0,,88.95273663099813,,,14783.926406524519,14544.504498310404,239.42190821411532,135.5792227143595,,0,S
13,2021-02-12,15186.200195,15243.5,15081.0,15163.299805,15163.299805,571800.0,,98.76859520264621,,,14842.291544751515,14590.341187694818,251.9503570566976,158.85344958282712,,1,L
14,2021-02-15,15270.299805,15340.150391,15243.400391,15314.700195,15314.700195,456000.0,,98.19981232900545,,,14914.969798635897,14643.997410458165,270.9723881777318,181.27723730180807,,0,S
15,2021-02-16,15371.450195,15431.75,15242.200195,15313.450195,15313.450195,648500.0,,97.09214669582452,,,14976.274474999605,14693.586505609412,282.68796939019376,201.55938371948523,,0,S
16,2021-02-17,15279.900391,15314.299805,15170.75,15208.900391,15208.900391,504800.0,,81.30468227534,,,15012.063077461204,14731.757904527232,280.30517293397133,217.30854156238246,,0,S
17,2021-02-18,15238.700195,15250.75,15078.049805,15118.950195,15118.950195,770600.0,,67.08754241398813,,,15028.507249390248,14760.438814932622,268.0684344576257,227.46052014143112,,0,S
18,2021-02-19,15074.799805,15144.049805,14898.200195,14981.75,14981.75,712200.0,,53.77296587926509,,,15021.313826407133,14776.832236048724,244.48159035840945,230.8647341848268,,0,S
19,2021-02-22,14999.049805,15010.099609,14635.049805,14675.700195,14675.700195,609900.0,14773.955029300001,24.894488876212137,15804.163693790728,13743.746364809274,14968.142498498344,14769.340973748818,198.80152474952592,224.45209229776665,8237.699153900276,1,L
